count,noun,adjs,PMI
2,mela,viola,2.573087661777565
305,televisore,grande,2.1878657987467256
233,televisore,piccolo,2.7985653868482308
178,televisore,vecchio,3.820329607703009
425,televisore,nuovo,2.0926545956724705
14,televisore,fantastico,2.541373520013285
1,televisore,marrone,1.9321366608902515
8,televisore,gigantesco,3.877975340319086
6,televisore,minuscolo,4.355130682010019
1,televisore,lungo,-3.1610607959313524
3,televisore,rosso,-1.1386041580592594
47,banana,grande,0.4736437327362081
31,banana,giallo,4.643536844799744
36,banana,piccolo,1.0958573088547543
59,banana,verde,4.3699238152899404
38,banana,fresco,4.002459521748008
24,banana,rosso,2.463455307676444
23,banana,blu,3.779097475466477
1,banana,morbido,1.0844358212832874
4,banana,francese,-0.0856638566264384
1,banana,fantastico,0.5926862003657449
2,banana,viola,5.189683906386336
3,banana,gigantesco,3.666253614837753
2,banana,vecchio,-1.1203203928791126
1,banana,corto,0.81034061478601
4,banana,nuovo,-3.361923653705027
1,banana,quadrato,0.8177332562018641
2,banana,cattivo,1.205847621489045
86,divano,nuovo,0.1959102313329103
24,divano,morbido,4.165110495134583
41,divano,blu,4.023270881600652
55,divano,vecchio,2.5388905125339067
117,divano,grande,1.2081427654534649
38,divano,rosso,2.541819820840539
1,divano,corto,0.2471590988625812
8,divano,fantastico,2.1994296858846285
20,divano,piccolo,-0.2844601499188637
6,divano,lungo,-0.958684113836198
4,divano,verde,0.2217797986453553
3,divano,francese,-0.9707734674372294
3,divano,gigantesco,3.1030720989143235
1,divano,marrone,2.3271584209278013
282,scrivania,grande,2.3138081508707784
52,scrivania,nuovo,-0.6754626180053461
297,scrivania,piccolo,3.3860411397118098
12,scrivania,lungo,-0.2219491258054376
47,scrivania,vecchio,2.160148283144731
5,scrivania,minuscolo,4.371410212658393
4,scrivania,giallo,1.2459336157109506
6,scrivania,francese,-0.3197683534323529
2,scrivania,blu,0.0595661514903207
4,scrivania,verde,0.0654299905926279
117,ventilatore,piccolo,2.7086656602872554
68,ventilatore,grande,0.9368243564928308
60,ventilatore,vecchio,3.1650731116622266
35,ventilatore,nuovo,-0.5743080794504675
16,ventilatore,rosso,1.846680626851668
6,ventilatore,fresco,1.464030892642972
7,ventilatore,blu,2.13375364244493
3,ventilatore,tedesco,-0.2066408033473714
2,ventilatore,fantastico,1.1172673687865102
3,ventilatore,rotondo,3.099612616514927
5,ventilatore,gigantesco,4.190834783258517
6,ventilatore,quadrato,2.5647068459590776
3,ventilatore,verde,0.4026518873810312
