count,noun,adjs,PMI
170,sedia,piccolo,0.5282223137237126
146,sedia,rosso,2.243237318350093
305,sedia,nuovo,-0.202498050287727
264,sedia,vecchio,2.568531511462303
38,sedia,giallo,2.152904919274002
74,sedia,blu,2.646919520853212
120,sedia,grande,-0.9684896750983428
2,sedia,fantastico,-1.598385443301089
46,sedia,verde,1.2415879269710692
18,sedia,lungo,-1.7309641509147784
19,sedia,marrone,3.436233887350603
17,sedia,francese,-1.0137010944594782
8,sedia,minuscolo,2.899869892967716
9,sedia,rotondo,1.7058878993146902
15,sedia,duro,0.3072616347131792
9,sedia,quadrato,0.3636272067012365
16,sedia,morbido,1.3958645181456366
2,sedia,corto,-1.380731028880824
2,sedia,gigantesco,0.4751819711709185
3,sedia,viola,2.828687261277191
3,sedia,fresco,-2.058976841502231
1,sedia,tedesco,-3.922293615434971
1,sedia,liscio,-0.3843276674019565
707,pomodoro,verde,4.992825335301947
941,pomodoro,fresco,5.65882711803607
211,pomodoro,giallo,4.433643864900471
382,pomodoro,rosso,3.462986265364204
131,pomodoro,piccolo,-0.0070153718782138
6,pomodoro,quadrato,-0.3127252562030037
119,pomodoro,grande,-1.1422416068389014
3,pomodoro,morbido,-0.8533776131791846
4,pomodoro,rossa,2.936793576124162
16,pomodoro,rotondo,2.309643355603185
25,pomodoro,lungo,-1.440231236291753
12,pomodoro,marcio,5.881611900818724
11,pomodoro,fantastico,0.2398352666244291
1,pomodoro,liscio,-0.5461069574764386
10,pomodoro,nuovo,-5.162233564417564
13,pomodoro,blu,0.063676462340453
4,pomodoro,duro,-1.5325895604739406
2,pomodoro,viola,2.2518704719238647
1,pomodoro,vecchio,-4.64309632806274
71,carota,grande,0.3291019527718192
27,carota,giallo,3.721387486171803
223,carota,viola,10.68257204703724
132,carota,piccolo,2.2121820980414486
84,carota,rosso,3.499485773353876
154,carota,fresco,5.263677427474451
4,carota,morbido,1.6768596354851042
13,carota,lungo,-0.1250068785983151
10,carota,verde,1.1929605576331734
17,carota,nuovo,-2.2434310278356224
3,carota,gigantesco,2.936749334152207
4,carota,duro,0.6757195933029857
2,carota,blu,0.0495931947809311
1,carota,vecchio,-2.4347871742858143
4258,formaggio,fresco,7.03797302682679
105,formaggio,blu,2.186672138699213
543,formaggio,morbido,5.43651537192432
387,formaggio,francese,2.45693760006402
175,formaggio,grande,-1.3872704399569575
4,formaggio,marrone,0.4768847411292857
39,formaggio,piccolo,-2.52705125249614
57,formaggio,verde,0.5856309241996871
35,formaggio,rosso,-0.7458591712652757
52,formaggio,nuovo,-3.691314584638497
246,formaggio,duro,3.2962797200765395
39,formaggio,marcio,6.70553042141816
7,formaggio,polacco,0.0229041934057922
40,formaggio,giallo,1.265705558808521
17,formaggio,fantastico,0.0272279111987503
19,formaggio,vecchio,-2.118738089322213
46,formaggio,tedesco,-0.3270539099786501
2,formaggio,lungo,-5.353278309858524
5,formaggio,rotondo,0.009573158927167
4,formaggio,gigantesco,0.2527984191158081
1,formaggio,fantastica,-1.000246248580884
1,formaggio,corto,-2.925042675823297
1975,mela,verde,6.794804206657328
1072,mela,grande,2.3395193481628027
937,mela,rosso,5.076446985808324
277,mela,piccolo,1.3887487713405404
9,mela,tedesco,-1.44092762076839
167,mela,giallo,4.419258022969733
9,mela,fantastico,0.2980180506443359
2,mela,polacco,-0.2733462598725165
30,mela,morbido,2.4220358870613907
11,mela,piccola,5.167381004494238
250,mela,fresco,4.072004612227759
82,mela,marcia,10.311748136311811
14,mela,cattivo,0.911179471767636
6,mela,fantastica,1.925895719477255
73,mela,nuovo,-2.090994627572211
14,mela,duro,0.3735901301009158
9,mela,marcio,5.824317467418695
36,mela,blu,1.786992095765499
8,mela,rossa,4.1060076725328125
9,mela,francese,-1.70226010123521
6,mela,vecchio,-2.5145242161514365
4,mela,gigantesco,1.371585465116343
4,mela,lungo,-3.497525669691783
1,mela,rotondo,-0.4566022957934537
2,mela,corto,-1.2212931291016054
1,mela,minuscolo,0.8893827913046218
2,mela,morbida,4.898263851937621
